Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille ;libelle sous famille;collection;modele;matiere;couleur;divers;photo;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B_M;board and more;001098639;1;;6;GLISSE MER;2;SURF MER;3;Sup Padlle board;H17;STYLEMAS;2017;PURE;;;TU;1;9001098639012;;1299.00;1299.00;1;20
B_M;board and more;001107140;1;;6;GLISSE MER;6;KITESURF;2;ACCESSOIRE KITE;H19;VARIO;2019;COMBO;;;TU;2;9001107140010;;99.00;99.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;34;0;9001097350017;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;35;0;9001097350024;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;36;0;9001097350031;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;36D;0;9001097350048;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;37;0;9001097350055;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;38;0;9001097350062;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;38D;0;9001097350079;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;39;0;9001097350086;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;40;0;9001097350093;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;40D;0;9001097350109;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;41;0;9001097350116;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;42;0;9001097350123;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;42D;0;9001097350130;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;43;1;9001097350147;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;44;0;9001097350154;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;44D;0;9001097350161;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;45;0;9001097350178;;20.00;20.00;1;20
