Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;L/XL;0;9005044255127;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XL;1;9005044255134;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXL;0;9005044255141;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXL/;0;9005044255158;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXXL;0;9005044255165;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044260;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;E23;KRISTAL;BALLON;ORANGE;;;;;;;TU;1;9005044260015;;36.99;36.99;1;20;20230117;20230220
BANDIT;banditas;005044250;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;E23;LEMON;FLUO;BEIGE;;;;;;;TU;1;9005044250016;;36.99;36.99;1;20;20230117;20230220
BANDIT;banditas;005045346;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;E23;LEMON;FLUO;CAMEL;;;;;;;TU;1;9005045346015;;36.99;36.99;1;20;20230215;20230215
BANDIT;banditas;005045345;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;E23;LEMON;FLUO;ECRU;;;;;;;TU;1;9005045345018;;36.99;36.99;1;20;20230215;20230215
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXXS;0;9005044826020;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXS;0;9005044826037;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXS/;0;9005044826044;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XS;0;9005044826051;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XS/S;0;9005044826068;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;S;1;9005044826075;;49.99;49.99;1;20;20230130;20230218
