Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVANTG;avantgarde;005042665;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;BS0414;;ARGENT;;;;;;;TU;1;9005042665010;;49.99;49.99;1;20;20221117;20221226
AVANTG;avantgarde;005042662;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;BS0414;;DORÉ;;;;;;;TU;1;9005042662019;;49.99;49.99;1;20;20221117;20221226
AVANTG;avantgarde;005042663;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;BS0414;;NOIR;;;;;;;TU;1;9005042663016;;49.99;49.99;1;20;20221117;20221226
AVANTG;avantgarde;005042673;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2782;;DORÉ;;;;;;;TU;1;9005042673015;;44.99;44.99;1;20;20221117;20221226
AVANTG;avantgarde;005040359;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2784;CLOU;CAMEL;;;;;;;TU;1;9005040359010;;69.99;69.99;1;20;20220908;20221226
AVANTG;avantgarde;005040360;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2784;CLOU;VERT;;;;;;;TU;1;9005040360016;;69.99;69.99;1;20;20220908;20221226
AVANTG;avantgarde;005042679;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2819;;NOIR;;;;;;;TU;1;9005042679017;;79.99;79.99;1;20;20221117;20221226
AVANTG;avantgarde;005042677;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2819;;VIOLET;;;;;;;TU;1;9005042677013;;79.99;79.99;1;20;20221117;20221226
AVANTG;avantgarde;005042667;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2924;;DORÉ;;;;;;;TU;1;9005042667014;;49.99;49.99;1;20;20221117;20221226
AVANTG;avantgarde;005042661;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2941;FRANGE;NOIR;;;;;;;TU;2;9005042661012;;69.99;69.99;1;20;20221117;20221226
AZALEE;NE PA PRENDRE PRENDRE GAMA AZA;005034407;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;0;CHAUSSURES TALONS FEMME;E22;B732;;BEIGE;;;;;;;36;0;9005034407017;;34.99;34.99;1;20;20220324;20221226
AZALEE;NE PA PRENDRE PRENDRE GAMA AZA;005034407;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;0;CHAUSSURES TALONS FEMME;E22;B732;;BEIGE;;;;;;;37;0;9005034407024;;34.99;34.99;1;20;20220324;20221226
AZALEE;NE PA PRENDRE PRENDRE GAMA AZA;005034407;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;0;CHAUSSURES TALONS FEMME;E22;B732;;BEIGE;;;;;;;38;0;9005034407031;;34.99;34.99;1;20;20220324;20221226
